Company Name,Application Number,Certified Rate
INFOSYS LIMITED,32178,99.89
"TECH MAHINDRA (AMERICAS),INC.",13378,99.76
"MASTECH DIGITAL TECHNOLOGIES, INC., A MASTECH DIGITAL, INC. COMPANY",2171,99.54
TATA CONSULTANCY SERVICES LIMITED,28133,99.25
"COMPUNNEL SOFTWARE GROUP, INC.",2871,99.2
INTEL CORPORATION,2673,99.06
"ORACLE AMERICA, INC",1559,99.04
"HCL AMERICA, INC.",6793,98.87
ERNST & YOUNG U.S. LLP,12988,98.84
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,3425,98.74
KFORCE INC.,2328,98.63
"AMAZON.COM SERVICES, INC.",3894,98.54
TECHLAND INC,1136,98.5
"RELIABLE SOFTWARE RESOURCES, INC.",1015,98.42
MPHASIS CORPORATION,1821,98.41
"GLOBALLOGIC,INC.",1002,98.3
DELOITTE & TOUCHE LLP,3124,98.27
PRICEWATERHOUSECOOPERS LLP,2426,98.06
"VMWARE, INC.",1971,97.97
ACCENTURE LLP,13071,97.61
"AMAZON WEB SERVICES, INC.",1368,97.51
MINDTREE LIMITED,1738,97.47
DELOITTE CONSULTING LLP,23319,97.35
UST GLOBAL INC.,2108,97.34
"A2Z DEVELOPMENT CENTER, INC.",1096,97.08
"BLOOMBERG, LP",1038,96.92
EBAY INC.,1678,96.54
SALESFORCE.COM INC.,2026,96.25
"CISCO SYSTEMS, INC.",1539,96.23
GOLDMAN SACHS & CO. LLC,1106,96.2
"PAYPAL, INC.",1660,96.14
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",1106,96.02
"TESLA, INC.",1893,95.83
POLARIS CONSULTING & SERVICES LTD,1097,95.62
LARSEN & TOUBRO INFOTECH LIMITED,5028,95.6
AMAZON CORPORATE LLC,4308,95.47
HCL GLOBAL SYSTEMS INC,1473,95.32
"SYNECHRON, INC.",1715,94.69
MICROSOFT CORPORATION,10557,94.68
SYNTEL CONSULTING INC.,4192,94.63
"FUJITSU AMERICA, INC.",1635,93.82
SYNTEL INC,4744,93.74
JPMORGAN CHASE &AMP; CO.,1451,93.04
WIPRO LIMITED,11483,92.62
CAPGEMINI AMERICA INC,15668,92.35
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,11086,91.96
"RANDSTAD TECHNOLOGIES, LLC",1671,91.92
BANK OF AMERICA N.A.,2173,91.12
POPULUS GROUP LLC,1835,90.95
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,4695,90.95
APPLE INC.,3674,90.83
JPMORGAN CHASE & CO.,3738,90.34
"FACEBOOK, INC.",4467,89.52
"NTT DATA, INC.",2494,89.33
L&T TECHNOLOGY SERVICES LIMITED,3291,88.06
VIRTUSA CORPORATION,2264,87.46
"UBER TECHNOLOGIES, INC.",1861,85.49
"WAL-MART ASSOCIATES, INC.",2632,84.04
PEOPLE TECH GROUP INC.,2725,83.96
"NTT DATA SERVICES, LLC",1054,83.87
LINKEDIN CORPORATION,1756,83.37
CUMMINS INC.,1691,82.97
"CAPITAL ONE SERVICES, LLC",1700,82.35
"PROKARMA, INC.",1065,80.94
IBM INDIA PRIVATE LIMITED,11886,80.04
GOOGLE LLC,6099,78.23
"PERSISTENT SYSTEMS, INC.",1247,76.66
KPMG LLP,2322,76.31
"HEXAWARE TECHNOLOGIES, INC.",2885,74.73
IBM CORPORATION,7713,73.42
"MARLABS, INC.",1267,67.56
"TECH MAHINDRA (AMERICAS), INC.",1159,67.47
UNIVERSITY OF MICHIGAN,1268,64.91
CERNER CORPORATION,1637,64.08
GOOGLE INC.,5552,62.81
"V-SOFT CONSULTING GROUP, INC",1880,61.6
