Job,Application Number,Certified Rate
COMPUTER SYSTEMS ANALYST,31164,98.86
COMPUTER SYSTEMS ENGINEERS/ARCHITECTS,2645,98.34
SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS,4169,96.86
WEB DEVELOPERS,9492,96.5
INFORMATION SECURITY ANALYSTS,5472,91.7
MANAGEMENT ANALYSTS,25955,90.72
COMPUTER NETWORK ARCHITECTS,3668,90.65
"FINANCIAL SPECIALISTS, ALL OTHER",5626,90.44
"COMPUTER OCCUPATIONS, ALL OTHER",114407,90.2
PHYSICAL THERAPISTS,5792,90.02
"DENTISTS, GENERAL",2440,89.92
ACCOUNTANTS AND AUDITORS,23082,89.78
COMPUTER AND INFORMATION SYSTEMS MANAGERS,15270,89.73
COMPUTER HARDWARE ENGINEERS,2641,89.7
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",45536,89.52
DATABASE ADMINISTRATORS,17917,89.39
OPERATIONS RESEARCH ANALYSTS,22897,89.31
LOGISTICIANS,4056,88.95
MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS,2737,88.82
"SOFTWARE DEVELOPERS, APPLICATIONS",318946,88.81
SALES ENGINEERS,4951,88.69
COMPUTER SYSTEMS ANALYSTS,153578,88.57
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",13241,88.48
COMMERCIAL AND INDUSTRIAL DESIGNERS,2777,88.44
"INTERNISTS, GENERAL",3464,88.31
ELECTRICAL ENGINEERS,14001,88.29
MATERIALS ENGINEERS,2701,88.23
ARCHITECTURAL AND ENGINEERING MANAGERS,3268,88.1
NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,20605,87.88
MECHANICAL ENGINEERS,20805,87.86
INDUSTRIAL ENGINEERS,8213,87.29
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",2255,87.27
MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,15022,86.96
FINANCIAL MANAGERS,3880,86.83
"PHYSICIANS AND SURGEONS, ALL OTHER",12451,86.8
ECONOMISTS,2304,86.68
HUMAN RESOURCES SPECIALISTS,2582,86.56
CHEMISTS,4659,86.39
COMPLIANCE OFFICERS,2231,86.24
GRAPHIC DESIGNERS,4458,86.18
FINANCIAL ANALYSTS,19910,86.14
"ENGINEERS, ALL OTHER",7003,86.06
GENERAL AND OPERATIONS MANAGERS,3752,85.82
STATISTICIANS,12870,85.78
COMPUTER AND INFORMATION RESEARCH SCIENTISTS,4474,85.67
MARKETING MANAGERS,5866,85.51
CIVIL ENGINEERS,7803,85.45
COMPUTER PROGRAMMERS,93284,85.23
BIOMEDICAL ENGINEERS,2242,85.19
LAWYERS,3591,85.13
PUBLIC RELATIONS SPECIALISTS,2445,84.87
"BUSINESS TEACHERS, POSTSECONDARY",2376,84.05
"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",2919,83.35
CHEMICAL ENGINEERS,2259,83.0
"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY",4196,79.77
"ENGINEERING TEACHERS, POSTSECONDARY",2315,77.88
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",2240,77.86
"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",9933,76.97
"BIOLOGICAL SCIENTISTS, ALL OTHER",7217,76.61
BIOCHEMISTS AND BIOPHYSICISTS,6273,71.23
