State,Application Number,Certified Rate
RI,4621,91.41
WA,52318,90.72
KY,5388,90.48
ME,1333,89.8
DE,7292,89.56
OH,31425,89.43
NE,4525,89.39
AR,6303,89.35
AZ,19482,89.17
TN,14126,89.17
WI,13190,88.95
NC,35625,88.86
MN,21299,88.81
IL,64041,88.78
GA,45832,88.75
OK,3638,88.7
PA,47428,88.47
NJ,83314,88.43
CT,17027,88.39
ID,1782,88.33
VA,36420,88.29
CO,13953,88.27
NH,3079,88.24
NV,3151,88.04
NY,113270,87.79
TX,130669,87.74
MO,16930,87.61
FL,44989,87.52
MA,50985,87.41
SC,6135,87.16
KS,5539,87.13
CA,247886,87.13
AL,3652,87.08
OR,9370,87.01
IA,6504,86.99
MI,41961,86.78
UT,6459,86.7
DC,8420,86.62
IN,13028,86.01
LA,3737,85.92
MS,1505,85.91
NM,1894,85.85
MD,21566,85.59
HI,1091,82.68
WV,1054,79.89
